,var1,var2,correlation,p_value,significant
75,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,Hemoglobin_Avg_chronic,-0.0918095874887967,0.10955797540729545,False
76,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_acute,-0.10136852437447737,0.07712583046582533,False
77,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,Hemoglobin_Avg_preclinical,-0.03465884511587201,0.5465176625626492,False
78,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_preclinical,-0.10744685281871987,0.06090248691826468,False
79,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,Hemoglobin_Avg_acute,-0.044459489785569954,0.43914013636815463,False
80,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobin_Avg_chronic,-0.27499450340060455,1.075996240087883e-06,False
81,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,MeanCorpuscularHemoglobinConcentration_Avg_acute,0.30264375495751433,7.018940145767631e-08,False
82,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_preclinical,0.06266431141787801,0.27528871964473467,False
83,MeanCorpuscularHemoglobinConcentration_Avg_chronic,Hemoglobin_Avg_chronic,0.06722144677522597,0.24180946240542664,False
84,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobin_Avg_acute,0.0003503514491494976,0.9951381193724365,False
85,MeanCorpuscularHemoglobinConcentration_Avg_chronic,Hemoglobin_Avg_preclinical,-0.028746810800241194,0.6170163568120264,False
86,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobin_Avg_preclinical,-0.05160239224013195,0.3691348440352943,False
87,MeanCorpuscularHemoglobinConcentration_Avg_chronic,Hemoglobin_Avg_acute,-0.05674205289579072,0.32330726747056204,False
88,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobin_Avg_chronic,0.006166434125513632,0.9145898836031288,False
89,MeanCorpuscularHemoglobinConcentration_Avg_chronic,MeanCorpuscularHemoglobinConcentration_Avg_acute,0.24896271801057224,1.0846964315556715e-05,False
